Listing Title,Area,Distances to Railway Stations,Building Age,Stories Tall,Floor,Price,Administrative Costs,Deposit,Gratuity,Rooms,Square Meters,Links to Listing
箱根湯本テラスハウス,神奈川県足柄下郡箱根町元箱根,"小田急小田原線/小田原駅 歩280分,ＪＲ東海道本線/鴨宮駅 歩327分,箱根登山鉄道/箱根湯本駅 歩203分",築26年,2階建,1-2階,5.5万円,-,-,-,2LDK,46.82m,https://suumo.jp/chintai/jnc_000055064775/?bc=100183918489
プレステージ一番館,千葉県船橋市習志野１,"新京成線/習志野駅 歩21分,新京成線/薬園台駅 歩25分,新京成線/北習志野駅 歩26分",築18年,2階建,1階,4万円,2000円,2万円,2万円,1K,26.49m,https://suumo.jp/chintai/jnc_000054880127/?bc=100184109960
メゾン　ブリーズ　I,茨城県神栖市柳川,"ＪＲ鹿島線/鹿島神宮駅 歩231分,ＪＲ成田線/笹川駅 歩220分,ＪＲ成田線/下総橘駅 歩98分",築11年,2階建,2階,5.4万円,2000円,-,-,2LDK,54.85m,https://suumo.jp/chintai/jnc_000017535408/?bc=100183648530
アリエッタガーデン,神奈川県足柄下郡箱根町仙石原,"小田急小田原線/小田原駅 歩235分,箱根登山鉄道/強羅駅 歩73分,箱根登山鉄道/彫刻の森駅 歩77分",築4年,2階建,2階,5.2万円,3000円,10.4万円,5.2万円,1LDK,39m,https://suumo.jp/chintai/jnc_000055018621/?bc=100183699686
アリエッタガーデン,神奈川県足柄下郡箱根町仙石原,"小田急小田原線/小田原駅 歩235分,箱根登山鉄道/強羅駅 歩73分,箱根登山鉄道/彫刻の森駅 歩77分",築4年,2階建,2階,5.2万円,3300円,-,5.2万円,1LDK,39m,https://suumo.jp/chintai/jnc_000055018622/?bc=100183674598
マヤリスマンション,茨城県神栖市知手中央６,"ＪＲ成田線/笹川駅 歩208分,ＪＲ鹿島線/鹿島神宮駅 歩206分,ＪＲ成田線/下総橘駅 歩106分",築22年,3階建,1階,4万円,3500円,-,-,1K,29.37m,https://suumo.jp/chintai/jnc_000055075564/?bc=100183986821
マヤリスマンション,茨城県神栖市知手中央６,"ＪＲ成田線/笹川駅 歩208分,ＪＲ鹿島線/鹿島神宮駅 歩206分,ＪＲ成田線/下総橘駅 歩106分",築22年,3階建,1階,5.5万円,3500円,5.5万円,-,2DK,46.16m,https://suumo.jp/chintai/jnc_000051187668/?bc=100177308344
グレイスシャトー,茨城県神栖市知手,"ＪＲ鹿島線/鹿島神宮駅 歩215分,ＪＲ成田線/下総橘駅 歩122分,ＪＲ成田線/笹川駅 歩218分",築11年,2階建,2階,6.7万円,3000円,6.7万円,-,2LDK,54.55m,https://suumo.jp/chintai/jnc_000054867758/?bc=100183648525
アリュール,茨城県神栖市波崎,ＪＲ鹿島線/鹿島神宮駅 バス90分 (バス停)労災病院前 歩120分,築11年,2階建,2階,5.2万円,3000円,5.2万円,-,1LDK,33.06m,https://suumo.jp/chintai/jnc_000054963956/?bc=100183496923
プリムロウズ,茨城県神栖市知手中央２,"ＪＲ鹿島線/鹿島神宮駅 歩207分,ＪＲ成田線/下総橘駅 歩120分,ＪＲ成田線/小見川駅 歩168分",築12年,2階建,2階,4.7万円,3000円,4.7万円,-,1K,29.75m,https://suumo.jp/chintai/jnc_000037088079/?bc=100183811858
