title,area,station1,station2,station3,building_age,stories_tall,floor,price,administrative_cost,deposit,gratuity,rooms,sq_meters,link
グランディール,東京都稲城市東長沼,京王相模原線/稲城駅 歩7分,ＪＲ南武線/稲城長沼駅 歩11分,京王相模原線/京王よみうりランド駅 歩17分,5.0,4.0,1.0,8800.0,5000.0,8800.0,0.0,1.0,42.5,https://suumo.jp/chintai/jnc_000017259271/?bc=100187452322
FUJISTA久米川,東京都東村山市栄町２,西武新宿線/久米川駅 歩3分,西武多摩湖線/八坂駅 歩9分,西武新宿線/東村山駅 歩17分,2.0,3.0,2.0,7500.0,4000.0,7500.0,7500.0,1.0,29.14,https://suumo.jp/chintai/jnc_000045485020/?bc=100187556145
メゾンクレスト,東京都昭島市玉川町４,ＪＲ青梅線/中神駅 歩8分,ＪＲ青梅線/東中神駅 歩8分,ＪＲ青梅線/西立川駅 歩20分,31.0,8.0,5.0,7000.0,7000.0,3500.0,0.0,1.0,42.64,https://suumo.jp/chintai/jnc_000013597682/?bc=100184112923
メゾンクレスト,東京都昭島市玉川町４,ＪＲ青梅線/中神駅 歩8分,ＪＲ青梅線/東中神駅 歩8分,ＪＲ青梅線/西立川駅 歩20分,31.0,8.0,5.0,7900.0,7000.0,3950.0,0.0,1.0,42.64,https://suumo.jp/chintai/jnc_000053690871/?bc=100184112898
メゾンクレスト,東京都昭島市玉川町４,ＪＲ青梅線/中神駅 歩8分,ＪＲ青梅線/東中神駅 歩8分,ＪＲ青梅線/西立川駅 歩20分,31.0,8.0,5.0,8700.0,7000.0,4350.0,0.0,3.0,63.0,https://suumo.jp/chintai/jnc_000053690873/?bc=100187523547
メゾンクレスト,東京都昭島市玉川町４,ＪＲ青梅線/中神駅 歩8分,ＪＲ青梅線/東中神駅 歩8分,ＪＲ青梅線/西立川駅 歩20分,31.0,8.0,5.0,9200.0,7000.0,4600.0,0.0,3.0,63.0,https://suumo.jp/chintai/jnc_000048039313/?bc=100184112849
メゾンクレスト,東京都昭島市玉川町４,ＪＲ青梅線/中神駅 歩8分,ＪＲ青梅線/東中神駅 歩8分,ＪＲ青梅線/西立川駅 歩20分,31.0,8.0,5.0,9500.0,7000.0,4750.0,0.0,3.0,63.0,https://suumo.jp/chintai/jnc_000041536622/?bc=100187523590
メゾンクレスト,東京都昭島市玉川町４,ＪＲ青梅線/中神駅 歩8分,ＪＲ青梅線/東中神駅 歩8分,ＪＲ青梅線/西立川駅 歩20分,31.0,8.0,5.0,9600.0,7000.0,4800.0,0.0,3.0,63.0,https://suumo.jp/chintai/jnc_000053690872/?bc=100184112913
メゾンクレスト,東京都昭島市玉川町４,ＪＲ青梅線/中神駅 歩8分,ＪＲ青梅線/東中神駅 歩8分,ＪＲ青梅線/西立川駅 歩20分,31.0,8.0,5.0,10100.0,7000.0,5050.0,0.0,3.0,63.0,https://suumo.jp/chintai/jnc_000048654960/?bc=100185395332
メゾンクレスト,東京都昭島市玉川町４,ＪＲ青梅線/中神駅 歩8分,ＪＲ青梅線/東中神駅 歩8分,ＪＲ青梅線/西立川駅 歩20分,31.0,8.0,5.0,10400.0,7000.0,5200.0,0.0,3.0,68.0,https://suumo.jp/chintai/jnc_000052258670/?bc=100187140719
