title,area,station1,station2,station3,building_age,stories_tall,floor,price,administrative_cost,deposit,gratuity,rooms,sq_meters,link
シルフィード秋川,東京都あきる野市秋川３,ＪＲ五日市線/秋川駅 歩6分,ＪＲ青梅線/福生駅 バス21分 (バス停)キララホール入口 歩3分,ＪＲ青梅線/拝島駅 バス21分 (バス停)キララホール入口 歩3分,30.0,3.0,1.0,4900.0,3000.0,0.0,0.0,1.0,41.8,https://suumo.jp/chintai/jnc_000031354081/?bc=100186716209
サラスバティ　III,東京都あきる野市小川東２,ＪＲ五日市線/東秋留駅 歩21分,ＪＲ青梅線/拝島駅 バス7分 (バス停)玉見ヶ崎 歩4分,,2.0,2.0,1.0,6450.0,3000.0,0.0,0.0,1.0,47.08,https://suumo.jp/chintai/jnc_000055773072/?bc=100186867687
ガーデンプレイス２,東京都稲城市矢野口,京王相模原線/京王よみうりランド駅 歩9分,ＪＲ南武線/矢野口駅 歩15分,京王相模原線/稲城駅 歩12分,7.0,2.0,1.0,7300.0,3000.0,0.0,7300.0,1.0,34.07,https://suumo.jp/chintai/jnc_000055380932/?bc=100185387519
桜山レジデンス,東京都福生市大字熊川,ＪＲ青梅線/拝島駅 歩8分,ＪＲ五日市線/熊川駅 歩10分,ＪＲ青梅線/牛浜駅 歩19分,2.0,2.0,2.0,13600.0,0.0,13600.0,13600.0,4.0,86.26,https://suumo.jp/chintai/jnc_000055743227/?bc=100186993451
パイン・ヒルズ参番館,東京都稲城市百村,京王相模原線/稲城駅 歩15分,ＪＲ南武線/南多摩駅 歩20分,ＪＲ南武線/稲城長沼駅 歩22分,15.0,3.0,3.0,9700.0,4000.0,0.0,0.0,2.0,58.32,https://suumo.jp/chintai/jnc_000040221535/?bc=100186783189
スカイ　ガーデン　タワー,東京都青梅市河辺町１０,ＪＲ青梅線/河辺駅 歩3分,ＪＲ青梅線/小作駅 歩24分,ＪＲ青梅線/東青梅駅 歩18分,10.0,14.0,4.0,5900.0,4500.0,0.0,0.0,1.0,25.74,https://suumo.jp/chintai/jnc_000055593233/?bc=100186662655
スカイ　ガーデン　タワー,東京都青梅市河辺町１０,ＪＲ青梅線/河辺駅 歩3分,ＪＲ青梅線/小作駅 歩24分,ＪＲ青梅線/東青梅駅 歩18分,10.0,14.0,4.0,5900.0,4500.0,0.0,0.0,1.0,25.74,https://suumo.jp/chintai/jnc_000055772888/?bc=100186865405
スカイ　ガーデン　タワー,東京都青梅市河辺町１０,ＪＲ青梅線/河辺駅 歩3分,ＪＲ青梅線/小作駅 歩24分,ＪＲ青梅線/東青梅駅 歩18分,10.0,14.0,4.0,5900.0,4500.0,0.0,0.0,1.0,25.74,https://suumo.jp/chintai/jnc_000055593234/?bc=100186514600
スカイ　ガーデン　タワー,東京都青梅市河辺町１０,ＪＲ青梅線/河辺駅 歩3分,ＪＲ青梅線/小作駅 歩24分,ＪＲ青梅線/東青梅駅 歩18分,10.0,14.0,4.0,6200.0,4500.0,0.0,0.0,1.0,25.74,https://suumo.jp/chintai/jnc_000055186994/?bc=100184584340
スカイ　ガーデン　タワー,東京都青梅市河辺町１０,ＪＲ青梅線/河辺駅 歩3分,ＪＲ青梅線/小作駅 歩24分,ＪＲ青梅線/東青梅駅 歩18分,10.0,14.0,4.0,6300.0,4500.0,0.0,0.0,1.0,25.74,https://suumo.jp/chintai/jnc_000055300076/?bc=100185603451
スカイ　ガーデン　タワー,東京都青梅市河辺町１０,ＪＲ青梅線/河辺駅 歩3分,ＪＲ青梅線/小作駅 歩24分,ＪＲ青梅線/東青梅駅 歩18分,10.0,14.0,4.0,6300.0,4500.0,0.0,0.0,1.0,25.74,https://suumo.jp/chintai/jnc_000055186993/?bc=100186261444
スカイ　ガーデン　タワー,東京都青梅市河辺町１０,ＪＲ青梅線/河辺駅 歩3分,ＪＲ青梅線/小作駅 歩24分,ＪＲ青梅線/東青梅駅 歩18分,10.0,14.0,4.0,10100.0,4500.0,0.0,0.0,1.0,51.49,https://suumo.jp/chintai/jnc_000055593232/?bc=100186514754
プラムシオン,東京都青梅市梅郷６,ＪＲ青梅線/石神前駅 歩13分,ＪＲ青梅線/日向和田駅 歩14分,ＪＲ青梅線/二俣尾駅 歩22分,12.0,2.0,1.0,4200.0,3000.0,0.0,0.0,1.0,26.24,https://suumo.jp/chintai/jnc_000052999039/?bc=100174078459
ＪＲ青梅線 東中神駅 2階建 築3年,東京都昭島市福島町２,ＪＲ青梅線/東中神駅 歩15分,ＪＲ青梅線/中神駅 歩21分,ＪＲ青梅線/西立川駅 歩21分,3.0,2.0,2.0,7600.0,3000.0,7600.0,0.0,2.0,49.19,https://suumo.jp/chintai/jnc_000028070873/?bc=100186946237
レガリア,東京都西東京市東町２,西武池袋線/保谷駅 歩8分,西武池袋線/ひばりヶ丘駅 歩27分,西武新宿線/東伏見駅 歩27分,18.0,3.0,1.0,10800.0,0.0,10800.0,10800.0,2.0,54.25,https://suumo.jp/chintai/jnc_000055773078/?bc=100186888187
西武新宿線 田無駅 3階建 築5年,東京都西東京市田無町６,西武新宿線/田無駅 歩9分,西武新宿線/西武柳沢駅 歩26分,西武新宿線/花小金井駅 歩26分,5.0,3.0,1.0,8500.0,3000.0,8500.0,8500.0,1.0,36.4,https://suumo.jp/chintai/jnc_000047720097/?bc=100186944604
ＪＲ五日市線 武蔵引田駅 2階建 築10年,東京都西多摩郡日の出町大字平井,ＪＲ五日市線/武蔵引田駅 歩13分,ＪＲ五日市線/秋川駅 歩26分,ＪＲ五日市線/武蔵増戸駅 歩27分,10.0,2.0,1.0,7400.0,0.0,0.0,0.0,2.0,59.62,https://suumo.jp/chintai/jnc_000055736182/?bc=100186734668
ＪＲ五日市線 武蔵引田駅 2階建 築10年,東京都西多摩郡日の出町大字平井,ＪＲ五日市線/武蔵引田駅 歩13分,ＪＲ五日市線/秋川駅 歩26分,ＪＲ五日市線/武蔵増戸駅 歩27分,10.0,2.0,1.0,7400.0,0.0,0.0,0.0,2.0,59.62,https://suumo.jp/chintai/jnc_000055736183/?bc=100186734339
稲城蔵ビル,東京都稲城市大丸,ＪＲ南武線/南多摩駅 歩3分,京王相模原線/稲城駅 歩20分,ＪＲ南武線/稲城長沼駅 歩15分,16.0,4.0,3.0,5200.0,3000.0,0.0,0.0,1.0,18.77,https://suumo.jp/chintai/jnc_000055765890/?bc=100186871902
